"stationId";"latitude";"longitude";"city";"state";"country";"url";"frecuency";"alias";"postalcode"
"2";20.5767;"-103.3265222";"Guadalajara";"Jalisco";"México";"https://api.waqi.info/feed/mexico/guadalajara/las-pintas/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"las pintas";""
"20";25.816667;"-100.583333";"García";"Nuevo León";"México";"https://api.waqi.info/feed/mexico/nuevo-leon/garcia/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"García";""
"21";25.7493469;"-100.2868973";"San Nicolas";"Nuevo León";"México";"https://api.waqi.info/feed/mexico/nuevo-leon/san-nicolas/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"San Nicolás";""
"22";25.6717286;"-100.2231895";"Guadalupe";"Nuevo León";"México";"https://api.waqi.info/feed/mexico/nuevo-leon/pastora/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"La Pastora";""
"23";25.6869003;"-100.4220058";"Santa Catarina";"Nuevo León";"México";"https://api.waqi.info/feed/mexico/nuevo-leon/s.-catarina/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Santa Catarina";""
"24";25.6745177;"-100.3473334";"Monterrey";"Nuevo León";"México";"https://api.waqi.info/feed/mexico/nuevo-leon/obispado/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Obispado";""
"25";19.722186;"-99.198602";"cdmx";"cdmx";"México";"https://api.waqi.info/feed/mexico/mexico/cuautitlan/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Cuautitlán";""
"26";19.357357;"-99.262865";"cdmx";"cdmx";"México";"https://api.waqi.info/feed/mexico/mexico/santa-fe/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Santa Fe";""
"27";19.325146;"-99.204136";"cdmx";"cdmx";"México";"https://api.waqi.info/feed/mexico/mexico/pedregal/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Pedregal";""
"28";19.40405;"-99.202603";"cdmx";"cdmx";"México";"https://api.waqi.info/feed/mexico/mexico/miguel-hidalgo/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Miguel Hidalgo";""
"29";19.4827;"-99.094517";"cdmx";"cdmx";"México";"https://api.waqi.info/feed/mexico/mexico/gustavo-a.-madero/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Gustavo Madero";""
"3";20.64144584;"-103.3126296";"Guadalajara";"Jalisco";"México";"https://api.waqi.info/feed/mexico/guadalajara/tlaquepaque/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Tlaquepaque";""
"30";19.304441;"-99103629";"cdmx";"cdmx";"México";"https://api.waqi.info/feed/mexico/mexico/uam-xochimilco/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Xochimilco";""
"31";19.393734;"-99.028212";"cdmx";"cdmx";"México";"https://api.waqi.info/feed/mexico/mexico/nezahualcoyotl/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Neza";""
"32";19.530094444444;"-96.881880555556";"Xalapa";"Veracruz";"México";"https://api.waqi.info/feed/mexico/veracruz/xalapa/stps/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Xalapa";""
"33";21.883780555556;"-102.29582";"Aguascalientes";"Aguascalientes";"México";"https://api.waqi.info/feed/mexico/aguascalientes/centro/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"centro";""
"34";21.903003362672;"-102.28461279505";"Aguascalientes";"Aguascalientes";"México";"https://api.waqi.info/feed/mexico/aguascalientes/secundaria-leyes-de-reforma/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"secundaria leyes de reforma";""
"35";19.691977777778;"-101.15547222222";"Morelia";"Michoacán";"México";"https://api.waqi.info/feed/mexico/michoacan/morelia/laboratorio-de-salud/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"laboratorio de salud";""
"36";25.421472222222;"-100.9968611111";"Saltillo";"Coahuila";"México";"https://api.waqi.info/feed/mexico/coahuila/saltillo/finanzas/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Saltillo";""
"37";25.551222222222;"-103.502527777";"Gomez Palacio";"Durango";"México";"https://api.waqi.info/feed/mexico/durango/gomez-palacio/campestre/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Gómez Palacio";""
"38";25.522694444444;"-103.39580555556";"Torreon";"Coahuila";"México";"https://api.waqi.info/feed/mexico/coahuila/torreon/conalep/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Torreón";""
"39";28.632583333333;"-106.03883333333";"Chihuahua";"Chihuahua";"México";"https://api.waqi.info/feed/mexico/chihuahua/estacion-de-bomberos-no.5/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"estacion de bomberos 5";""
"4";20.62955425;"-103.2639298";"Guadalajara";"Jalisco";"México";"https://api.waqi.info/feed/mexico/guadalajara/loma-dorada/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"loma dorada";""
"40";32.6403;"-115.506";"Mexicali";"Baja California Norte";"México";"https://api.waqi.info/feed/california/mexicali/mexicali-cobach/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Mexicali";""
"41";24.051555555556;"-104.6113611111";"Durango";"Durango";"México";"https://api.waqi.info/feed/mexico/durango/durango/ipn/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Politécnico ";""
"42";24.026777777778;"-104.69297";"Durango";"Durango";"México";"https://api.waqi.info/feed/mexico/durango/srnyma/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"centro";""
"43";22.13175;"-100.97691666667";"San Luis Potosí";"San Luis Potosí";"México";"https://api.waqi.info/feed/mexico/san-luis-potosi/dif/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"dif";""
"44";22.174222222222;"-100.9930833333";"San Luis Potosí";"San Luis Potosí";"México";"https://api.waqi.info/feed/mexico/san-luis-potosi/biblioteca/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"biblioteca";""
"45";21.478177777778;"-104.86774166667";"Tepic";"Nayarit";"México";"https://api.waqi.info/feed/mexico/nayarit/tepic/tecnologico-de-tepic/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Tecnológico";""
"46";21.50980555555;"-104.910180555";"Tepic";"Nayarit";"México";"https://api.waqi.info/feed/mexico/nayarit/tepic/primaria-julian-gascon-mercado/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"centro";""
"47";21.133545;"-101.679543";"León";"Guanajuato";"México";"https://api.waqi.info/feed/mexico/guanajuato/facultad-de-medicina/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"facultad de medicina";""
"48";21.108664;"-101.688614";"León";"Guanajuato";"México";"https://api.waqi.info/feed/mexico/guanajuato/t-21/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"T-21";""
"49";21.10343;"-101.636345";"León";"Guanajuato";"México";"https://api.waqi.info/feed/mexico/guanajuato/ciceg/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"ciceg";""
"5";20.68045084;"-103.3987331";"Guadalajara";"Jalisco";"México";"https://api.waqi.info/feed/mexico/guadalajara/vallarta/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Minerva";""
"50";20.947924;"-101.42577";"Silao";"Guanajuato";"México";"https://api.waqi.info/feed/mexico/guanajuato/hospital-general/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Silao";""
"51";21.01758333333;"-101.257361111";"Guanajuato";"Guanajuato";"México";"https://api.waqi.info/feed/mexico/guanajuato/guanajuato/universidad-gto-sede-belen/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Universidad";""
"52";20.508972222222;"-97.446986111111";"Poza Rica";"Veracruz";"México";"https://api.waqi.info/feed/mexico/veracruz/poza-rica/universidad-veracruzana/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Universidad Veracruzana";""
"53";18.005675;"-94.55533611111";"Minatitlán";"Veracruz";"México";"https://api.waqi.info/feed/mexico/veracruz/minatitlan/tecnologico/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Tecnológico";""
"54";16.699340277778;"-96.866455";"Oaxaca";"Oaxaca";"México";"https://api.waqi.info/feed/mexico/oaxaca/cedart/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"cedart";""
"55";18.90861;"-99.2116";"Cuernavaca";"Morelos";"México";"https://api.waqi.info/feed/mexico/morelos/estacion-de-monitoreo-cuernavaca-centro/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"centro";""
"56";19.270192914173;"-99.595307048355";"Toluca";"Estado de México";"México";"https://api.waqi.info/feed/mexico/toluca/metepec/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"metepec";""
"57";20.545446;"-100.807091";"Celaya";"Guanajuato";"México";"https://api.waqi.info/feed/mexico/guanajuato/tecnologico/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Tecnológico";""
"58";20.537489;"-100.839905";"Celaya";"Guanajuato";"México";"https://api.waqi.info/feed/mexico/guanajuato/san-juanico/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"San Juanico";""
"59";20.518569711338;"-100.81674332276";"Celaya";"Guanajuato";"México";"https://api.waqi.info/feed/mexico/celaya/celaya-policia/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"centro";""
"6";20.528912;"-103.377146";"Guadalajara";"Jalisco";"México";"https://api.waqi.info/feed/mexico/jalisco/santa-fe/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Santa Fe";""
"60";20.565231;"-101.188248";"Salamanca";"Guanajuato";"México";"https://api.waqi.info/feed/mexico/guanajuato/nativitas/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Nativitas";""
"61";20.578896;"-101.199211";"Salamanca";"Guanajuato";"México";"https://api.waqi.info/feed/mexico/guanajuato/cruz-roja/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"cruz roja";""
"62";20.558094;"-101.20494";"Salamanca";"Guanajuato";"México";"https://api.waqi.info/feed/mexico/guanajuato/dif/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"dif";""
"63";28.707666666667;"-100.5265";"Piedras Negras";"Coahuila";"México";"https://api.waqi.info/feed/mexico/coahuila/piedras-negras/centro-de-rehabilitacion-dif/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"centro";""
"7";20.71818028;"-103.3554914";"Guadalajara";"Jalisco";"México";"https://api.waqi.info/feed/mexico/jalisco/atemajac/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Atemajac";""
"8";20.67236667;"-103.3333588";"Guadalajara";"Jalisco";"México";"https://api.waqi.info/feed/mexico/jalisco/centro/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"centro";""
"9";20.629602722222224;"-103.41677252777778";"Guadalajara";"Jalisco";"México";"https://api.waqi.info/feed/mexico/jalisco/aguilas/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Las Águilas";""
